BP CODE,NTW #,PROVIDER NAME,REGION,CITY,DISTRICT,TYPE,NTW 1,NTW 2,NTW 3,NTW 4,NTW 5,NTW 6,NTW 7,NTW 8,NTW 9,NTW 10,TEL,FAX,المدنة,المنطقة,اسم مقدم الخدمة
2237,9,SANAD AL JAZEERAH CLINIC,CENTRAL,RIYADH,AL ERAJA,CLINIC,√,√,√,√,√,√,√,√,√,−,011-4365550,011-4335011,الراض,الوسطى,مجمع عادات سند الجزرة
175,10,AL BAYAN MEDICAL CLINIC,CENTRAL,RIYADH,MANFOUHA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4510944,011-4592774,الراض,الوسطى,مجمع عادات البان الطبي
985,10,AL SHOMOLY MEDICAL POLYCLINICS,CENTRAL,RIYADH,AL MUROOJ,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4543232,011-4532537,الراض,الوسطى,مجمع عادات الطب الشمولي
890,6,AL MOHAMMADIA MEDICAL CLINICS,CENTRAL,RIYADH,AL MOHAMMADIA,CLINIC,√,√,√,√,√,√,−,−,−,−,011-2101313,011-2051221,الراض,الوسطى,عادات المحمدة الطبي
1163,10,AL MURSALAAT MEDICAL POLYCLINIC,CENTRAL,RIYADH,AL NOZHA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4509071,011-4561214,الراض,الوسطى,مجمع عادات المرست الطبة
967,10,AL KADISIYAH POLYCLINIC,CENTRAL,RIYADH,AL KHALIDIA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4460800,011-4471385,الراض,الوسطى,مجمع عادات القادسة  الطبي
1051,9,DURRAT GHORNATA MEDICAL COMPLEX,CENTRAL,RIYADH,GHURNATA,CLINIC,√,√,√,√,√,√,√,√,√,−,011-2771162,011-2771163,الراض,الوسطى,مجمع عادات درة غرناطة
1684,10,LAURA MEDICAL CENTER,CENTRAL,RIYADH,AL BATHA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4120608,011-4120608,الراض,الوسطى,مجمع لورا الطبي
1835,10,DURRAT LAMAR MEDICAL CENTER,CENTRAL,RIYADH,AL AZIZIYAH,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4955866,011-2136688,الراض,الوسطى,مجمع عادات درة لمار الطبي
2148,10,WOROF MEDICAL POLYCLINIC,CENTRAL,RIYADH,AL WADI,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2755500,011-2757834,الراض,الوسطى,مجمع عادات وروف الطبي
2183,10,TDAWEE AL RIYADH MEDICAL COMPLEX,CENTRAL,RIYADH,AL RAWDA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2533999,011-2483558,الراض,الوسطى,مجمع عادات تداوي الراض الطبي
743,9,AL SUBHI POLYCLINIC,CENTRAL,RIYADH,AL ANDALUS,CLINIC,√,√,√,√,√,√,√,√,√,−,011-2335000,011-2358887,الراض,الوسطى,مجمع عادات الصبحي
20,10,AL RAYAN INTERNATIONAL POLYCLINIC CO.,CENTRAL,RIYADH,AL BATHA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4038896,011-4026152,الراض,الوسطى,مجمع عادات شركة الران للخدمات  البطحاء
3212,9,KHOBARAA AL ELAJ MEDICAL CLINIC,CENTRAL,RIYADH,UMM AL HAMMAM,CLINIC,√,√,√,√,√,√,√,√,√,−,011-4887473,011-4882126,الراض,الوسطى,مجمع خبراء العج الطبي
437,10,AL OLAYA INTERNATIONAL COMPLEX,CENTRAL,RIYADH,AL OLAYA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4641158,011-4658232,الراض,الوسطى,مجمع عادات العلا الدولي
909,10,MIRAD MEDICAL SERVICE EST.,CENTRAL,RIYADH,AL NASEEM,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4511895,011-4511898,الراض,الوسطى,مجمع مراد الطبي
2243,9,LOTUS MEDICAL CENTER,CENTRAL,RIYADH,AL YARMOUK,CLINIC,√,√,√,√,√,√,√,√,√,−,011-2496068,011-2496068,الراض,الوسطى,مجمع عادات اللوتس الطبي
180,10,ADWAA AL ALAMI MEDICAL COMPLEX (AVICENNA PREV.),CENTRAL,RIYADH,SALHIYA DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4486834,011-4486801,الراض,الوسطى,مجمع عادات اضواء العالمي الطبي ( ابن سناء سابقاً )
3825,10,FAYHA HEALTH MEDICAL COMPLEX,CENTRAL,RIYADH,AL FAYHA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2418000,011-2418070,الراض,الوسطى,مجمع عادات صحة الفحاء الطبي
363,6,ELIXIR INTERNATIONAL POLYCLINIC,CENTRAL,RIYADH,AL BATHA,CLINIC,√,√,√,√,√,√,−,−,−,−,011-4067001,011-4081428,الراض,الوسطى,مجمع إكسر الدولي
1876,10,AL FAIROUZ AL AHLI CLINIC,CENTRAL,RIYADH,SHIFA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4239235,011-4239234,الراض,الوسطى,مستوصف الفروز اھلي
2078,10,ELAJ AL RIYADH POLYCLINIC,CENTRAL,RIYADH,QURTUBA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4553041,011-4553043,الراض,الوسطى,مجمع عادات عج الراض الطبي
650,10,DAR EL ELAJ DISPENSARY,CENTRAL,RIYADH,AL SUWAIDI,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4258932,011-4250206,الراض,الوسطى,مجمع دار العج الطبي
3875,10,FAL AL AFIA POLYCLINIC,CENTRAL,RIYADH,AL YARMOUK,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2220222,011-2220222,الراض,الوسطى,مجمع عادات فال العافة الطبي
3970,10,UNITED MEDICAL COMPLEX,CENTRAL,RIYADH,AL NADHEEM,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2454334,011-2463593,الراض,الوسطى,مجمع المتحد الطبي
1797,9,AL RAHMAH CLINIC & MEDICAL LAB,CENTRAL,RIYADH,AL NAHDHA,CLINIC,√,√,√,√,√,√,√,√,√,−,011-2260507,011-2260600,الراض,الوسطى,مجمع الرحمة الطبي
1374,9,ADWA AL HAYAT POLYCLINIC CO.,CENTRAL,RIYADH,AL BATHA,CLINIC,√,√,√,√,√,√,√,√,√,−,011-4093987,011-4093987,الراض,الوسطى,مجمع عادات اضواء الحاة الطبي
3954,6,NEBRAS MEDICAL COMPLEX,CENTRAL,RIYADH,AL YARMOUK,CLINIC,√,√,√,√,√,√,−,−,−,−,011-2254477,011-2032277,الراض,الوسطى,مجمع نبراس الطبي
357,9,AL EWAN MEDICAL COMPANY (ATHEEB),CENTRAL,RIYADH,AL SULAYMANIYH,CLINIC,√,√,√,√,√,√,√,√,√,−,011-4631606,011-4612570,الراض,الوسطى,مجمع عادات اوان الطبي
1123,9,ASHBELIA MEDICAL POLYCLINIC,CENTRAL,RIYADH,ESHBELIYA,CLINIC,√,√,√,√,√,√,√,√,√,−,011-2400555,011-2400222,الراض,الوسطى,مجمع عادات اشبلا الطبي
4670,10,RASHED MEDICAL COMPLEX,CENTRAL,RIYADH,NMAR,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4102630,011-4102631,الراض,الوسطى,مجمع عادات راشد العتبي الطبي
2049,6,ALFARABI DENTA AND ORTHOBONTIC COMPLEX,CENTRAL,DERIEYAH,DERIEYAH,CENTER,√,√,√,√,√,√,−,−,−,−,011-4862727,011-2086185,الدرعة,الوسطى,بسمة الفارابي لطب اسنان الدرعھ
1798,9,AL DIREIYA POLYCLINIC,CENTRAL,DERIEYAH,FAISALIYA DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,011-4860040,011-4860242,الدرعة,الوسطى,مجمع الدرعة الطبي
1012,10,SEHA AL DARAYA POLYCLINIC,CENTRAL,DERIEYAH,DARAYA DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4863555,011-4731977,الدرعة,الوسطى,مجمع عادات صحة الدرعة
4478,4,DHURMA GENERAL HOSPITAL,CENTRAL,DHURMA,DHRUMA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-5220607,011-5220601,ضرما,الوسطى,مستشفى ضرما العام
3998,4,AL DAWAA MEDICAL SERVICES CO.,CENTRAL,OYAYNA,QURTUBA,PHARMACY,√,√,√,√,−,−,−,−,−,−,013-8677776,013-8670201,العنة,الوسطى,مجموعة صدلات الدواء
4671,9,"DIA,A AL OLAYA MEDICAL COMPLEX",CENTRAL,OYAYNA,AL OYAYNA,CLINIC,√,√,√,√,√,√,√,√,√,−,011-5281111,011-4896515,العنة,الوسطى,مجمع عادات ضاء العلا الطبي
3756,10,AL ENJAZ MEDICAL CENTER,CENTRAL,OYAYNA,oyayna,CLINIC,√,√,√,√,√,√,√,√,√,√,011-5288000,011-5285000,العنة,الوسطى,مركز انجاز الطبي
5457,4,HORAYMILAA HOSPITAL-RIYADH,CENTRAL,HORAYMILAA,HAZAM,HOSPITAL,√,√,√,√,−,−,−,−,−,−,-,-,حرمء,الوسطى,مستشفى حرمء العام-وزارة الصحة
5297,4,AL MUZAHMIAH GENERAL HOSPITAL - MOH,CENTRAL,MOUZAHMIAH,OLAYA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-5231874,011-5230977,المزاحمة,الوسطى,مستشفى المزاحمة العام
3998,4,AL DAWAA MEDICAL SERVICES CO.,CENTRAL,MOUZAHMIAH,QURTUBA,PHARMACY,√,√,√,√,−,−,−,−,−,−,013-8677776,013-8670201,المزاحمة,الوسطى,مجموعة صدلات الدواء
132,9,PRIMARY CARE  - 1 (AL METREK PREV.),CENTRAL,MOUZAHMIAH,ALMUZAHMIYA,CLINIC,√,√,√,√,√,√,√,√,√,−,011-4581925,011-2714462,المزاحمة,الوسطى,مجمع رعاة اولة الطبي اول ( آل مترك - سابقاً )
4488,4,AL QUWAYIAH GENERAL HOSPITAL,CENTRAL,QUWAYIYAH,QUWAYIAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-6521003,011-6524682,القوعة,الوسطى,مستشفى القوعة العام
3174,10,ANGEL OF MERCY MEDICAL CLINIC,CENTRAL,QUWAYIYAH,ALQUAWIYAH,CLINIC,√,√,√,√,√,√,√,√,√,√,011-6522888,011-6524777,القوعة,الوسطى,مجمع عادات شركة مك الرحمة
3998,4,AL DAWAA MEDICAL SERVICES CO.,CENTRAL,QUWAYIYAH,QURTUBA,PHARMACY,√,√,√,√,−,−,−,−,−,−,013-8677776,013-8670201,القوعة,الوسطى,مجموعة صدلات الدواء
2732,9,PRIMARY CARE  - 4 (AL METREK PREV.),CENTRAL,QUWAYIYAH,RABWA DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,011-6521888,011-6551333,القوعة,الوسطى,مجمع رعاة اولة الطبي الرابع ( آل مترك  سابقاً )
4484,4,KING KHALID GENERAL HOSPITAL-KHARJ,CENTRAL,AL KHARJ,AL KHARJ,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-5444444,011-5448424,الخرج,الوسطى,مستشفى الملك خالد
5327,4,MATERNITY & CHILDREN HOSPITAL-ALKHARJ,CENTRAL,AL KHARJ,AL KHARJ,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-5406009,011-5406009,الخرج,الوسطى,مستشفى الودة واطفال
3989,8,RAWAT ELEOWN OPTICALS,CENTRAL,AL KHARJ,KHARJ,CENTER,√,√,√,√,√,√,√,√,−,−,011-5445261,011-5445261,الخرج,الوسطى,بصرات روعة العون - الخرج
105,6,AL TAAWIN CLINIC,CENTRAL,AL KHARJ,AL KHARJ,CLINIC,√,√,√,√,√,√,−,−,−,−,011-5447072,011-5449190,الخرج,الوسطى,مستوصف التعاون الطبي
4681,6,AL TAAWIN CLINIC 2,CENTRAL,AL KHARJ,AL MUNTAZAH,CLINIC,√,√,√,√,√,√,−,−,−,−,011-5447072,011-5451445,الخرج,الوسطى,مجمع التعاون الثاني
4682,6,AL TAAWIN CLINIC 3,CENTRAL,AL KHARJ,AL DALAM,CLINIC,√,√,√,√,√,√,−,−,−,−,011-5410399,011-5410799,الخرج,الوسطى,مجمع التعاون الثالث الطبي
101,10,AL AMEED MEDICAL COMPLEX,CENTRAL,AL KHARJ,AL SALAM,CLINIC,√,√,√,√,√,√,√,√,√,√,011-5442777,011-5448173,الخرج,الوسطى,مجمع العمد الطبي
969,9,AL DOSARY MEDICAL COMPLEX,CENTRAL,AL KHARJ,ALFAISALIAH,CLINIC,√,√,√,√,√,√,√,√,√,−,011-5448167,011-5482036,الخرج,الوسطى,مجمع عادات الدوسري الطبي
2713,9,RAWAAT AL MAHA OPTICALS - AL KHARJ 1,CENTRAL,AL KHARJ,AL KHARJ,CENTER,√,√,√,√,√,√,√,√,√,−,011-5482679,011-2374525,الخرج,الوسطى,روعة المھا للبصرات -الخرج 1
732,10,DAR AL SALAM MEDICAL CLINIC,CENTRAL,AL KHARJ,AL NHDHA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-5448663,011-5449143,الخرج,الوسطى,مجمع عادات دور السم الطبي بالخرج
4107,10,DAR ALSHOUBAA MEDICAL POLYCLINIC,CENTRAL,AL KHARJ,AL SHOUBAA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-5488866,011-5481070,الخرج,الوسطى,مجمع عادات دار الشعبة الطبي
1879,10,ADVANCED CONSULTANT POLYCLINIC (KHARJ),CENTRAL,AL KHARJ,AL KHARJ,CLINIC,√,√,√,√,√,√,√,√,√,√,011-5451111,011-5484448,الخرج,الوسطى,مجمع العادات المتقدمة استشارة
1331,10,EBRAHEEM AL SUKHAIBER MEDICAL CLINIC,CENTRAL,AL KHARJ,ALANDULAS DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,√,011-5488882,011-5483433,الخرج,الوسطى,مجمع ابراھم الصخبر الطبي
4652,4,PRINCE SALMAN BIN MOHAMMED HOSPITAL,CENTRAL,AL DALM,AL DALAM,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-5417029,011-5416530,الدلم,الوسطى,مستشفى امر سلمان بن محمد بالدلم
5298,4,SAJR GENERAL HOSPITAL - MOH,CENTRAL,SAJER,SAJR,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-6320450,011-6321197,ساجر,الوسطى,مستشفى ساجر العام
4481,4,REMAH GENERAL HOSPITAL,CENTRAL,REMAH,71 AREA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-5521370,011-5521325,رماح,الوسطى,مستشفى رماح العام
3998,4,AL DAWAA MEDICAL SERVICES CO.,CENTRAL,REMAH,QURTUBA,PHARMACY,√,√,√,√,−,−,−,−,−,−,013-8677776,013-8670201,رماح,الوسطى,مجموعة صدلات الدواء
4482,4,ROWAIDAH AL ARD GENERAL HOSPITAL,CENTRAL,ROWAIDAH AL ARD,MAHDUD,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-6551927,011-6552800,روضة العرض,الوسطى,مستشفى روضة العرض
1730,4,SHAQRA GENERAL HOSPITAL (MOH),CENTRAL,SHAGRA,SHAQRA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4050714,011-4112840,شقرا,الوسطى,مستشفى شقراء العام (وزارة الصحة)
898,10,ABAS MEDICAL CENTER - SHAQRA,CENTRAL,SHAGRA,SHAGRA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-6223266,011-6223237,شقرا,الوسطى,مجمع عادات ركن اباس الطبي
4490,4,AFIF GENERAL HOSPITAL,CENTRAL,AFEEF,AL SHEMALY,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-7222000,011-7220634,عفف,الوسطى,مستشفى عفف العام
987,10,AL SHEFA MEDICAL CLINIC,CENTRAL,AFEEF,SOUTH DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,√,011-7221555,011-7221917,عفف,الوسطى,مجمع الشفاء الطبي
4647,4,THADIG GENERAL HOSPITAL,CENTRAL,THADIG,AL FAISALIYAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-6443911,011-6443932,ثادق,الوسطى,مستشفى ثادق العام
4480,4,AL AFLAJ GENERAL HOSPITAL,CENTRAL,AFLAJ,AL DAWAIR,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-6820002,011-6820292,افج,الوسطى,مستشفى افج العام
3990,8,RAWAT ELEOWN OPTICALS,CENTRAL,AFLAJ,AFLAJ,CENTER,√,√,√,√,√,√,√,√,−,−,011-6825590,011-6825590,افج,الوسطى,بصرات روعة العون - افج
4836,10,AL KAMAL MEDICAL CLINIC,CENTRAL,AFLAJ,AL DAWAIR,CLINIC,√,√,√,√,√,√,√,√,√,√,011-6821111,011-6823311,افج,الوسطى,مجمع عادات الكمال الطبي
2717,9,RAWAAT AL MAHA OPTICALS - AL AFLAJ,CENTRAL,AFLAJ,AL AFLAJ,CENTER,√,√,√,√,√,√,√,√,√,−,011-6826670,011-2374525,افج,الوسطى,روعة المھا للبصرات -افج
4648,4,HAWTAT BANI TAMIM G. HOSPITAL,CENTRAL,AL HOTAH,AL SALAMIYAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,-,-,حوطة بني تمم,الوسطى,مستشفى حوطة بني تمم العام
5292,9,VIOLA MEDICAL COMPLEX,CENTRAL,AL HOTAH,AL SALMIYAH,CLINIC,√,√,√,√,√,√,√,√,√,−,011-5552777,011-5557999,حوطة بني تمم,الوسطى,مجمع فو الطبي
2715,9,RAWAAT AL MAHA OPTICALS - HAWTAT BANI TAMIM,CENTRAL,AL HOTAH,HAWTAH DISTRICT,CENTER,√,√,√,√,√,√,√,√,√,−,011-5551328,011-2374525,حوطة بني تمم,الوسطى,روعة المھا للبصرات -حوطة بني تمم
5423,9,ROWAD ALTAQADUM MEDICAL POLYCLINIC,CENTRAL,AL HOTAH,ALSALAMYAH,CLINIC,√,√,√,√,√,√,√,√,√,−,011-5390144,011-5390144,حوطة بني تمم,الوسطى,مجمع عادات رواد التقدم الطبي
4649,4,TMAER GENERAL HOSPITAL,CENTRAL,TMAER,TMAER,HOSPITAL,√,√,√,√,−,−,−,−,−,−,016-4437636,016-4437499,تمر,الوسطى,مستشفى تمر العام
4479,4,DAWADMI GENERAL HOSPITAL,CENTRAL,AL DAWADMI,AL NUZHAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-6424636,011-6436584,الدوادمي,الوسطى,مستشفى الدوادمي العام
3987,8,RAWAT ELEOWN OPTICALS,CENTRAL,AL DAWADMI,DAWADMI,CENTER,√,√,√,√,√,√,√,√,−,−,011-6442776,011-6442767,الدوادمي,الوسطى,بصرات روعة العون - الدوادمي
2185,10,ABU ZEED MEDICAL CLINIC,CENTRAL,AL DAWADMI,ALDAWADMI,CLINIC,√,√,√,√,√,√,√,√,√,√,011-6423338,011-6423695,الدوادمي,الوسطى,مستوصف ابو زد الطبي
5390,4,AL RAFAYA GENERAL HOSPITAL,CENTRAL,AL JEMSH,AL JEMSH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-6426612,011-6426612,الجمش,الوسطى,مستشفى الرفاع بالجمش العام
4489,4,WADI AL DAWASIR G. HOSPITAL,CENTRAL,W/ AL DAWASER,WADI AL DASER,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-7840085,011-7843863,وادي الدواسر,الوسطى,مستشفى وادي الدواسر العام
2716,9,RAWAAT AL MAHA OPTICALS - AL KHAMASEEN,CENTRAL,W/ AL DAWASER,AL KHMASEEN,CENTER,√,√,√,√,√,√,√,√,√,−,011-7847246,011-2374525,وادي الدواسر,الوسطى,روعة المھا للبصرات -الخماسن
656,10,AL NOWAIMEH NATIONAL CLINIC,CENTRAL,W/ AL DAWASER,ALNOWAIMAH DIS,CLINIC,√,√,√,√,√,√,√,√,√,√,011-7861495,011-7861051,وادي الدواسر,الوسطى,مجمع عادات النوعمة الطبي
4650,4,SULAIL GENERAL HOSPITAL,CENTRAL,SULAIL,AL MOHAMADIYAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-7821041,011-7820790,السلل,الوسطى,مستشفى السلل العام
894,9,SULAIL AL AHLI DISPENSARY (FARHAN AL NADAR),CENTRAL,SULAIL,AL MOHAMMED DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,011-7820085,011-7822739,السلل,الوسطى,مجمع عادات السلل اھلي (فرحان النادر )
2021,9,AL KHAMASEEN POLYCLINIC (FRHAN NADER),CENTRAL,AL KHAMASIN,KHOMASIN DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,011-7841539,011-7843560,الخماسن,الوسطى,مستوصف الخماسن الطبي (فرحان النادر)
4487,4,KING KHALID G. HOSPITAL-MAJMAAH,QASSIM,AL MAJMAA,MAJMAAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,016-4320000,016-4323389,المجمعة,القصم,مستشفى الملك خالد بالمجمعة
3988,8,RAWAT ELEOWN OPTICALS,QASSIM,AL MAJMAA,MAJMA,CENTER,√,√,√,√,√,√,√,√,−,−,016-4325223,016-4325223,المجمعة,القصم,بصرات روعة العون - المجمعة
3998,4,AL DAWAA MEDICAL SERVICES CO.,QASSIM,AL MAJMAA,QURTUBA,PHARMACY,√,√,√,√,−,−,−,−,−,−,013-8677776,013-8670201,المجمعة,القصم,مجموعة صدلات الدواء
1630,9,AL HABIB DISPENSARY,QASSIM,AL MAJMAA,KING FAHAD DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,016-4323931,016-4310468,المجمعة,القصم,مجمع الحبب الطبي
889,10,SUDAIR CONSULTING CLINICS,QASSIM,AL MAJMAA,ALJAMIEIAYN,CLINIC,√,√,√,√,√,√,√,√,√,√,016-4322444,016-4312267,المجمعة,القصم,عادات سدر استشارة
4651,4,ZULFI GENERAL HOSPITAL,QASSIM,ZULFI,AL ZULFI,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-7821041,011-7820790,الزلفي,القصم,مستشفى الزلفي العام
2471,10,AL ZULFI MEDICAL DISPENSARY,QASSIM,ZULFI,YARMOUK DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,√,016-4226666,016-4222009,الزلفي,القصم,مجمع عادات الزلفي  الطبي
3998,4,AL DAWAA MEDICAL SERVICES CO.,QASSIM,ZULFI,QURTUBA,PHARMACY,√,√,√,√,−,−,−,−,−,−,013-8677776,013-8670201,الزلفي,القصم,مجموعة صدلات الدواء
1754,9,NABDH AL WATEEN POLYCLINIC (ZULFI),QASSIM,ZULFI,FARAZDAQ DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,016-4222777,016-4230351,الزلفي,القصم,مجمع عادات نبض الوتن الطبي
1128,2,DR SULIMAN AL HABIB MED. GROUP (QASSIM),QASSIM,BURAIDA,SADA DISTRICT,HOSPITAL,√,√,−,−,−,−,−,−,−,−,016-3166666,016-3810219,بردة,القصم,مستشفى الدكتور سلمان الحبب الطبي
1733,4,KING FAHAD HOSPITAL (MOH) (BURAIDA),QASSIM,BURAIDA,FAYZIYAH DISTRICT,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4050714,011-4508672,بردة,القصم,مستشفى الملك فھد ( وزارة الصحة ) (بردة)
4523,4,BURAYDAH CENTRAL HOSPITAL,QASSIM,BURAIDA,AL SADAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,016-3521414,016-3231485,بردة,القصم,مستشفى بردة المركزي
5039,4,PRINCE SULTAN CENTER FOR HART SERVICES,QASSIM,BURAIDA,BURAIDAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,016-3257790,016-3230778,بردة,القصم,مركز امر سلطان لطب وجراحة القلب
4524,4,MATERNITY & CHILDREN HOSPITAL-BURAYDAH,QASSIM,BURAIDA,AL HAMRAA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,016-3851258,016-3823863,بردة,القصم,مستشفى الودة واطفال ببردة
5402,4,PRINCE FAISAL BIN BANDAR HOSPITAL - MOH,QASSIM,BURAIDA,BURAIDA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,016-3251009,016-3251009,بردة,القصم,مركز امر فصل بن بندر لورام
4009,4,DR. GHASSAN N. PHAROAN DENTAL CENTER,QASSIM,BURAIDA,AL RWDHA,CENTER,√,√,√,√,−,−,−,−,−,−,016-3813596,016-3826360,بردة,القصم,مجمع الدكتور غسان نجب فرعون لطب اسنان
1592,6,QASEEM NATIONAL HOSPITAL,QASSIM,BURAIDA,AL ASKAN,HOSPITAL,√,√,√,√,√,√,R,R,R,R,016-3836100,016-3836200,بردة,القصم,مستشفى القصم الوطني
1660,6,BURAYDAH DENTAL CLINIC,QASSIM,BURAIDA,HAMRA DISTRICT,CENTER,√,√,√,√,√,√,−,−,−,−,016-3824448,016-3852500,بردة,القصم,مركز رمز بردة لطب اسنان
642,8,FAHAD AL AJAJI (SAUDI SHAMEL DENTAL CLINIC PREV.),QASSIM,BURAIDA,SAFRA DISTRICT,CENTER,√,√,√,√,√,√,√,√,−,−,016-3819050,016-3818945,بردة,القصم,مجمع فھد العجاجي لطب اسنان السعودي الشامل سابقاً.
655,8,AL FERAH HOSPITAL (BURAIDAH),QASSIM,BURAIDA,KHOBAIB DISTRICT,HOSPITAL,√,√,√,√,√,√,√,√,R,R,016-3245501,016-3230162,بردة,القصم,مستشفى الفرح
5147,8,SELVA MEDICAL CLINIC,QASSIM,BURAIDA,AL MUNTAZAH,CLINIC,√,√,√,√,√,√,√,√,−,−,016-3827722,016-3263948,بردة,القصم,مجمع سلفا الطبي
620,9,SAUDI MEDICAL POLYCLINIC,QASSIM,BURAIDA,ALESKAN,CLINIC,√,√,√,√,√,√,√,√,√,−,016-3810196,016-3821777,بردة,القصم,المستوصف السعودي الطبي
1703,10,SHIFA BURAIDAH POLYCLINIC,QASSIM,BURAIDA,KHOBAIB DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,√,016-3694227,016-3271304,بردة,القصم,مجمع عادات شفاء بردة الطبي
3640,10,BLUE DEEM CLINICS (Panorama PREV.),QASSIM,BURAIDA,ALKHDAR DIS,CLINIC,√,√,√,√,√,√,√,√,√,√,016-3846788,016-3846888,بردة,القصم,مجمع بلو دم الطبي (بانوراما سابقاً)
2718,9,RAWAAT AL MAHA OPTICALS - BURAYDAH,QASSIM,BURAIDA,FAYZIYAH DISTRICT,CENTER,√,√,√,√,√,√,√,√,√,−,016-3816951,011-2374525,بردة,القصم,روعة المھا للبصرات -بردة
2883,9,FARZA OPTICS - BURAIDAH,QASSIM,BURAIDA,NAHDA DISTRICT,CENTER,√,√,√,√,√,√,√,√,√,−,016-3693314,017-2250919,بردة,القصم,محل فرزة للنظارات - بردة
2904,9,FARZA OPTICS - BURAIDAH ALSAFRAA,QASSIM,BURAIDA,SAFRA DISTRICT,CENTER,√,√,√,√,√,√,√,√,√,−,016-3827702,017-2250921,بردة,القصم,محل فرزة للنظارات -بردة الصفراء
1002,9,FUTURE CARE CLINICS,QASSIM,BURAIDA,FAKHIRIYA DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,016-3259900,016-3258226,بردة,القصم,عادات عناة  المستقبل الطبي
1702,9,SLAMAT POLYCLINIC,QASSIM,BURAIDA,ALRODHAH DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,016-3819966,016-3819550,بردة,القصم,مستوصف سمات
3849,9,SLAMAT POLYCLINIC 2,QASSIM,BURAIDA,AL SENAA,CLINIC,√,√,√,√,√,√,√,√,√,−,016-3267441,016-3697828,بردة,القصم,مجمع عادات شركة سمات الطبة 2
1476,9,AL FLAIW POLYCLINIC,QASSIM,BURAIDA,OFOUQ DISTRICT,CLINIC,√,√,√,√,√,√,√,√,√,−,016-3856611,016-3826811,بردة,القصم,مجمع عادات الفلو الطبي
